user,posted_on,description,post_url,comment_count,like_count,media_type,media_count,media_file_1,media_file_2,media_file_3,media_file_4,media_file_5,media_file_6,media_file_7,media_file_8,media_file_9
iwonapodlasinska,2019-09-12 06:27:21,How do you feel about those tones? I have been experimenting recently with my use of Lightroom. I keep discovering it and it seems like non stop learning. But as they say: you either grow your or die. Definitely I’m not ready to die. Photos were taken at my workshop in Hungary hosted by @dreamworldphotohu . Thank you so much for all. Ps. A new offer in USA is coming soon #childrenphotography #iwonapodlasinska #shared_joy,https://www.instagram.com/p/B2T903hidOY,60,2819,8,3,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/70062103_373964199966116_8009992960466034171_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=2D5taOClLxsAX9-UGh-&ccb=7-4&oh=19599eec0471b55c0b2d85291113c12f&oe=6089A348&_nc_sid=6136e7&ig_cache_key=MjEzMTMxODk1Mzk3MTc1NTgxOQ%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/69372728_205548343770657_6456603666247036503_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JlMBay7A10UAX-MQPKf&ccb=7-4&oh=075976008e5c7d6d109370672115b5dc&oe=608982F8&_nc_sid=6136e7&ig_cache_key=MjEzMTMxODk1Mzk5Njg2NTI0MA%3D%3D.2-ccb7-4,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/68679178_2362963930635020_2415219301647301717_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=3Luhld6jFpoAX_Q_sBy&ccb=7-4&oh=be9653b36d1a0e267341a4a92edacb70&oe=6088181F&_nc_sid=6136e7&ig_cache_key=MjEzMTMxODk1Mzk3OTk4NjQ2OA%3D%3D.2-ccb7-4,,,,,,
iwonapodlasinska,2019-09-09 06:00:16,Splash (China). From my workshop in China. I had 30 students in one group but Chinese students were very organized when shooting so everybody had a chance to take a shot. #sonyalpha #sonycamera #zeisslenses #china #childrenphotography #i ona#iwonapodlasinska,https://www.instagram.com/p/B2MMV7-Ce3O,51,3087,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/69110152_180126376358474_2478488595440343968_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=8dsi6rjgOtwAX8W-mUv&ccb=7-4&oh=75b9552baf5045b161b10e04b064d55e&oe=608A115A&_nc_sid=6136e7&ig_cache_key=MjEyOTEzMTAwNzg5ODE1MjM5OA%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-09-06 08:27:29,Tea garden (China) from my workshop in Hangzhou city in China. I loved the tea gardens there. It was 4th visit and I’m all ready for 5th #iwonapodlasinska #iwonapodlasinskaworkshop #childrenphotography #lightroomedits #lightroommasters #followthislight #flickrfeature,https://www.instagram.com/p/B2Euzg8Ce-M,61,3662,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/69584487_481916132359694_2440853679136466122_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=HP3nRz43fEEAX_NT-Rt&ccb=7-4&oh=7e126af4662cda5bcf7b6d1bfdb82d2d&oe=6089CB0D&_nc_sid=6136e7&ig_cache_key=MjEyNzAzMDc3NDIyNTU2MzUzMg%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-09-05 11:23:27,The garden (China) taken during my workshop in Hangzhou city in China 🇨🇳 #heartimprint,https://www.instagram.com/p/B2CeJcpC9p2,22,2231,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/69006684_421820045344234_5259504115498176301_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=jTZeKkO6GWwAX-wq2fW&ccb=7-4&oh=57cf0e9fd3ab0bd742b0dff584e968a6&oe=60897895&_nc_sid=6136e7&ig_cache_key=MjEyNjM5NDU2NDY5NjMzMjkxOA%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-09-02 07:57:34,Made of steel... #train #childrenphotography #iwonapodlasinska #magicalshotz #followthislight #flickrfeature,https://www.instagram.com/p/B16YM-jCATV,47,2778,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/67489444_735803940175612_3918007576510035170_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=tAx6t8y3NlQAX9n0UAA&ccb=7-4&oh=dda06838386293b77924a0f2a9af5a96&oe=6087CADE&_nc_sid=6136e7&ig_cache_key=MjEyNDExNjYxOTE2ODMxODY3Nw%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-08-28 11:33:04,Between (on the train) one of my favorite portraits from my workshop in Germany (the one with the train) #train #portrait #childrenphotography #iwonapodlasinska #sonyalpha #sonycamera,https://www.instagram.com/p/B1t44-WCBXU,23,2294,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/67660032_692813667866582_6136478518504235938_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=mogMgLo2oJYAX_M9Moa&ccb=7-4&oh=29de6e7d6b58eb49d46038563d9b326a&oe=60884DF8&_nc_sid=6136e7&ig_cache_key=MjEyMDYwMTIwNTM5ODMxMjQwNA%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-08-20 09:41:32,The grove (where we meet) ... Pola stepping into the garden one foot on earth one foot in a world of imagination.... taken in the magical garden in @zlodziejewo,https://www.instagram.com/p/B1ZFxCIC8kr,30,2332,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/67417416_402024853753879_5781344379880735238_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=s9KWH_kY9HMAX8fPhjl&ccb=7-4&oh=a3a47c4e2e8d5dcf53248c407172b01a&oe=6089B430&_nc_sid=6136e7&ig_cache_key=MjExNDc0Njg1OTc5NjU0Nzg4Mw%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-08-20 03:03:29,Little bird (lat night I had a dream I could fly) Please share! #sonyalpha #zlodziejewo #iwonapodlasinska #photographyworkshop #lightrays #stunninglight #light #childrenphotography #flickrfeature,https://www.instagram.com/p/B1XF0PrCX5-,66,4368,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/67566114_116498669471755_6185017805239638287_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=7cik9la3HJoAX8CxSV1&ccb=7-4&oh=7073bd3f3a0fc06f57d83ddc4b48d299&oe=60869307&_nc_sid=6136e7&ig_cache_key=MjExNDE4NDEzMDU0NzI1Mjg2Mg%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-08-19 01:37:31,Kitten (youth) my younger son and one of the kittens that were born at my moms house.,https://www.instagram.com/p/B1UXLnvit7s,65,3596,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/s240x240/67086910_404122617127039_3410079212697181046_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=FhPwwmp6LroAX_5WCnJ&ccb=7-4&oh=4dffdf0d29df324e71021d7eae5949ce&oe=6086B0E0&_nc_sid=6136e7&ig_cache_key=MjExMzQxNjA3ODgwMTE2NjA2MA%3D%3D.2-ccb7-4,,,,,,,,
iwonapodlasinska,2019-08-17 12:33:41,The wooden horse... (waiting for you) from my workshop in @zlodziejewo #horse #woodentoy #beautifulgirl #portrait #childphotography #iwonapodlasinska #magicalmoment,https://www.instagram.com/p/B1PGSbBC2Ge,68,5067,1,1,https://instagram.fccu4-2.fna.fbcdn.net/v/t51.2885-15/e35/p240x240/66778763_184388125920280_4662133272376658642_n.jpg?tp=1&_nc_ht=instagram.fccu4-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=CpGusuuf8zcAX8JiU6K&ccb=7-4&oh=be29af9c575bd67433630940a622ae10&oe=608718DE&_nc_sid=6136e7&ig_cache_key=MjExMTkzNDQwNDQ5ODI1MjE5MA%3D%3D.2-ccb7-4,,,,,,,,
